genus,hyb,species
Rosa,,fujisanensis
Rosa,,gadzhievii
Rosa,,gallica
Rosa,,galushkoi
Rosa,,gigantea
Rosa,x,gilmaniana
Rosa,,giraldii
Rosa,,glabrifolia
Rosa,,glandulososetosa
Rosa,,glauca
Rosa,x,glaucoides
Rosa,,glomerata
Rosa,,gorenkensis
Rosa,,graciliflora
Rosa,,gracilipes
Rosa,x,grovesii
Rosa,,gymnocarpa
Rosa,x,hainesii
Rosa,x,harmsiana
Rosa,,heckeliana
Rosa,,helenae
Rosa,,hemisphaerica
Rosa,x,henryana
Rosa,,henryi
Rosa,,hezhangensis
Rosa,x,hibernica
Rosa,,hirtissima
Rosa,,hirtula
Rosa,x,hodgdonii
Rosa,x,housei
Rosa,x,hyogoensis
Rosa,,iberica
Rosa,,iliensis
Rosa,,iljinii
Rosa,,inodora
Rosa,x,involuta
Rosa,,irinae
Rosa,,irysthonica
Rosa,,isaevii
Rosa,x,iwara
Rosa,,jaroschenkoi
Rosa,,juzepczukiana
Rosa,,kamelinii
Rosa,,karaalmensis
Rosa,,kazarjanii
Rosa,,khasautensis
Rosa,,kokanica
Rosa,,kokijrimensis
Rosa,,koreana
Rosa,x,kotschyana
Rosa,,kuhitangi
Rosa,,kujmanica
Rosa,,kunmingensis
Rosa,,kwangtungensis
Rosa,,kweichowensis
Rosa,,laevigata
Rosa,,langyashanica
Rosa,,lasiosepala
Rosa,,laxa
Rosa,,leschenaultiana
Rosa,,lichiangensis
Rosa,,livescens
Rosa,x,longicolla
Rosa,,longicuspis
Rosa,,longshoushanica
Rosa,,lucidissima
Rosa,,lucieae
Rosa,,ludingensis
Rosa,,macrophylla
Rosa,,mairei
Rosa,,majalis
Rosa,x,makinoana
Rosa,,mandenovae
Rosa,,mandonii
Rosa,x,margerisonii
Rosa,,marginata
Rosa,x,massiana
Rosa,,maximowicziana
Rosa,x,medioccidentis
Rosa,,memoryae
Rosa,,mesatlantica
Rosa,,micrantha
Rosa,x,mikawamontana
Rosa,,minutifolia
Rosa,x,misimensis
Rosa,,miyiensis
Rosa,x,molletorum
Rosa,x,molliformis
Rosa,,mollis
Rosa,x,momiyamae
Rosa,,montana
Rosa,,morrisonensis
Rosa,,moschata
Rosa,,moyesii
Rosa,,multibracteata
Rosa,,multiflora
Rosa,,murielae
Rosa,,nipponensis
Rosa,,nitida
Rosa,x,nitidula
Rosa,x,novae-angliae
Rosa,,nutkana
Rosa,,obtegens
Rosa,x,odorata
Rosa,x,oldhamii
Rosa,x,oligocarpa
Rosa,,omeiensis
Rosa,,onoei
Rosa,,orientalis
Rosa,,osmastonii
Rosa,,ossethica
Rosa,,oxyacantha
Rosa,,oxyodon
Rosa,x,oxyodontoides
Rosa,x,ozcelikii
Rosa,x,palustriformis
Rosa,,palustris
Rosa,,paniculigera
Rosa,x,paulii
Rosa,,pedunculata
Rosa,,pendulina
Rosa,,persetosa
Rosa,,persica
Rosa,x,pervirens
Rosa,,phoenicia
Rosa,,pimpinellifolia
Rosa,,pinetorum
Rosa,,pinnatisepala
Rosa,x,piptocalyx
Rosa,,pisocarpa
Rosa,,platyacantha
Rosa,x,polliniana
Rosa,,popovii
Rosa,,pouzinii
Rosa,x,praegeri
Rosa,,praelucens
Rosa,,praetermissa
Rosa,,prattii
Rosa,,pricei
Rosa,,primula
Rosa,,prokhanovii
Rosa,,pseudobanksiae
Rosa,x,pseudorusticana
Rosa,,pseudoscabriuscula
Rosa,,pubicaulis
Rosa,x,pulcherrima
Rosa,,pulverulenta
Rosa,x,reversa
Rosa,,rhaetica
Rosa,,roopiae
Rosa,x,rothschildii
Rosa,x,rouyana
Rosa,,roxburghii
Rosa,,rubiginosa
Rosa,,rubus
Rosa,,rugosa
Rosa,,russanovii
Rosa,x,sabinii
Rosa,x,salaevensis
Rosa,,sambucina
Rosa,,saturata
Rosa,,saundersiae
Rosa,x,scabriuscula
Rosa,,schergiana
Rosa,,schrenkiana
Rosa,,sempervirens
Rosa,,serafinii
Rosa,,sericea
Rosa,,sertata
Rosa,,setigera
Rosa,,setipoda
Rosa,,shangchengensis
Rosa,,sherardii
Rosa,,sikangensis
Rosa,,sinobiflora
Rosa,,sogdiana
Rosa,,soulieana
Rosa,x,spinulifolia
Rosa,,spithamea
Rosa,,squarrosa
Rosa,,stellata
Rosa,,stylosa
Rosa,,subbuschiana
Rosa,x,suberecta
Rosa,x,suberectiformis
Rosa,x,subpomifera
Rosa,,taiwanensis
Rosa,,taronensis
Rosa,,teberdensis
Rosa,,terscolensis
Rosa,,tianschanica
Rosa,,tibetica
Rosa,,tlaratensis
Rosa,x,toddiae
Rosa,,tomentosa
Rosa,,transcaucasica
Rosa,,transmorrisonensis
Rosa,,tschimganica
Rosa,,tsinlingensis
Rosa,,tunquinensis
Rosa,,turcica
Rosa,,turkestanica
Rosa,,uniflora
Rosa,,uniflorella
Rosa,,usischensis
Rosa,,vassilczenkoi
Rosa,x,verticillacantha
Rosa,x,victoriana
Rosa,,villosa
Rosa,,virginiana
Rosa,x,vituperabilis
Rosa,x,waitziana
Rosa,x,warleyensis
Rosa,,webbiana
Rosa,,weisiensis
Rosa,,willmottiae
Rosa,,woodsii
Rosa,,xanthina
Rosa,,zalana
Rosa,,zaramagensis
Rosa,,zhongdianensis
Rosa,,zuvandica
